video_id,clase,split,path,origen
Robbery033_x264,Robbery,train,data\processed\train\Robbery__Robbery033_x264.npy,ucf_crime
Robbery034_x264,Robbery,train,data\processed\train\Robbery__Robbery034_x264.npy,ucf_crime
Robbery035_x264,Robbery,train,data\processed\train\Robbery__Robbery035_x264.npy,ucf_crime
Robbery036_x264,Robbery,train,data\processed\train\Robbery__Robbery036_x264.npy,ucf_crime
Robbery037_x264,Robbery,train,data\processed\train\Robbery__Robbery037_x264.npy,ucf_crime
Robbery038_x264,Robbery,train,data\processed\train\Robbery__Robbery038_x264.npy,ucf_crime
Robbery039_x264,Robbery,train,data\processed\train\Robbery__Robbery039_x264.npy,ucf_crime
Robbery040_x264,Robbery,train,data\processed\train\Robbery__Robbery040_x264.npy,ucf_crime
Robbery041_x264,Robbery,train,data\processed\train\Robbery__Robbery041_x264.npy,ucf_crime
Robbery042_x264,Robbery,train,data\processed\train\Robbery__Robbery042_x264.npy,ucf_crime
Robbery043_x264,Robbery,train,data\processed\train\Robbery__Robbery043_x264.npy,ucf_crime
Robbery044_x264,Robbery,train,data\processed\train\Robbery__Robbery044_x264.npy,ucf_crime
Robbery045_x264,Robbery,train,data\processed\train\Robbery__Robbery045_x264.npy,ucf_crime
Robbery046_x264,Robbery,train,data\processed\train\Robbery__Robbery046_x264.npy,ucf_crime
Robbery047_x264,Robbery,train,data\processed\train\Robbery__Robbery047_x264.npy,ucf_crime
Robbery048_x264,Robbery,train,data\processed\train\Robbery__Robbery048_x264.npy,ucf_crime
Robbery049_x264,Robbery,train,data\processed\train\Robbery__Robbery049_x264.npy,ucf_crime
Robbery050_x264,Robbery,train,data\processed\train\Robbery__Robbery050_x264.npy,ucf_crime
Burglary001_x264,Burglary,val,data\processed\val\Burglary__Burglary001_x264.npy,ucf_crime
Burglary002_x264,Burglary,val,data\processed\val\Burglary__Burglary002_x264.npy,ucf_crime
Burglary003_x264,Burglary,val,data\processed\val\Burglary__Burglary003_x264.npy,ucf_crime
Burglary004_x264,Burglary,val,data\processed\val\Burglary__Burglary004_x264.npy,ucf_crime
Burglary005_x264,Burglary,val,data\processed\val\Burglary__Burglary005_x264.npy,ucf_crime
Burglary006_x264,Burglary,val,data\processed\val\Burglary__Burglary006_x264.npy,ucf_crime
Burglary007_x264,Burglary,val,data\processed\val\Burglary__Burglary007_x264.npy,ucf_crime
Burglary008_x264,Burglary,val,data\processed\val\Burglary__Burglary008_x264.npy,ucf_crime
Burglary009_x264,Burglary,val,data\processed\val\Burglary__Burglary009_x264.npy,ucf_crime
Burglary010_x264,Burglary,val,data\processed\val\Burglary__Burglary010_x264.npy,ucf_crime
Burglary011_x264,Burglary,val,data\processed\val\Burglary__Burglary011_x264.npy,ucf_crime
Burglary012_x264,Burglary,val,data\processed\val\Burglary__Burglary012_x264.npy,ucf_crime
Burglary013_x264,Burglary,train,data\processed\train\Burglary__Burglary013_x264.npy,ucf_crime
Burglary014_x264,Burglary,train,data\processed\train\Burglary__Burglary014_x264.npy,ucf_crime
Burglary015_x264,Burglary,train,data\processed\train\Burglary__Burglary015_x264.npy,ucf_crime
Burglary016_x264,Burglary,train,data\processed\train\Burglary__Burglary016_x264.npy,ucf_crime
Burglary017_x264,Burglary,train,data\processed\train\Burglary__Burglary017_x264.npy,ucf_crime
Burglary018_x264,Burglary,train,data\processed\train\Burglary__Burglary018_x264.npy,ucf_crime
Burglary019_x264,Burglary,train,data\processed\train\Burglary__Burglary019_x264.npy,ucf_crime
Burglary020_x264,Burglary,train,data\processed\train\Burglary__Burglary020_x264.npy,ucf_crime
Burglary021_x264,Burglary,train,data\processed\train\Burglary__Burglary021_x264.npy,ucf_crime
Burglary022_x264,Burglary,train,data\processed\train\Burglary__Burglary022_x264.npy,ucf_crime
Burglary023_x264,Burglary,train,data\processed\train\Burglary__Burglary023_x264.npy,ucf_crime
Burglary024_x264,Burglary,train,data\processed\train\Burglary__Burglary024_x264.npy,ucf_crime
Burglary025_x264,Burglary,train,data\processed\train\Burglary__Burglary025_x264.npy,ucf_crime
Burglary026_x264,Burglary,train,data\processed\train\Burglary__Burglary026_x264.npy,ucf_crime
Burglary027_x264,Burglary,train,data\processed\train\Burglary__Burglary027_x264.npy,ucf_crime
Burglary028_x264,Burglary,train,data\processed\train\Burglary__Burglary028_x264.npy,ucf_crime
Burglary029_x264,Burglary,train,data\processed\train\Burglary__Burglary029_x264.npy,ucf_crime
Burglary030_x264,Burglary,train,data\processed\train\Burglary__Burglary030_x264.npy,ucf_crime
Burglary031_x264,Burglary,train,data\processed\train\Burglary__Burglary031_x264.npy,ucf_crime
Burglary032_x264,Burglary,train,data\processed\train\Burglary__Burglary032_x264.npy,ucf_crime
Burglary033_x264,Burglary,train,data\processed\train\Burglary__Burglary033_x264.npy,ucf_crime
Burglary034_x264,Burglary,train,data\processed\train\Burglary__Burglary034_x264.npy,ucf_crime
Burglary035_x264,Burglary,train,data\processed\train\Burglary__Burglary035_x264.npy,ucf_crime
Burglary036_x264,Burglary,train,data\processed\train\Burglary__Burglary036_x264.npy,ucf_crime
Burglary037_x264,Burglary,train,data\processed\train\Burglary__Burglary037_x264.npy,ucf_crime
Burglary038_x264,Burglary,train,data\processed\train\Burglary__Burglary038_x264.npy,ucf_crime
Burglary039_x264,Burglary,train,data\processed\train\Burglary__Burglary039_x264.npy,ucf_crime
Burglary040_x264,Burglary,train,data\processed\train\Burglary__Burglary040_x264.npy,ucf_crime
Burglary041_x264,Burglary,train,data\processed\train\Burglary__Burglary041_x264.npy,ucf_crime
Burglary042_x264,Burglary,train,data\processed\train\Burglary__Burglary042_x264.npy,ucf_crime
Burglary043_x264,Burglary,train,data\processed\train\Burglary__Burglary043_x264.npy,ucf_crime
Burglary044_x264,Burglary,train,data\processed\train\Burglary__Burglary044_x264.npy,ucf_crime
Burglary045_x264,Burglary,train,data\processed\train\Burglary__Burglary045_x264.npy,ucf_crime
Burglary046_x264,Burglary,train,data\processed\train\Burglary__Burglary046_x264.npy,ucf_crime
Burglary047_x264,Burglary,train,data\processed\train\Burglary__Burglary047_x264.npy,ucf_crime
Burglary048_x264,Burglary,train,data\processed\train\Burglary__Burglary048_x264.npy,ucf_crime
Burglary049_x264,Burglary,train,data\processed\train\Burglary__Burglary049_x264.npy,ucf_crime
Burglary050_x264,Burglary,train,data\processed\train\Burglary__Burglary050_x264.npy,ucf_crime
Shoplifting001_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting001_x264.npy,ucf_crime
Shoplifting003_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting003_x264.npy,ucf_crime
Shoplifting004_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting004_x264.npy,ucf_crime
Shoplifting005_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting005_x264.npy,ucf_crime
Shoplifting006_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting006_x264.npy,ucf_crime
Shoplifting007_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting007_x264.npy,ucf_crime
Shoplifting008_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting008_x264.npy,ucf_crime
Shoplifting009_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting009_x264.npy,ucf_crime
Shoplifting010_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting010_x264.npy,ucf_crime
Shoplifting012_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting012_x264.npy,ucf_crime
Shoplifting013_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting013_x264.npy,ucf_crime
Shoplifting014_x264,Shoplifting,val,data\processed\val\Shoplifting__Shoplifting014_x264.npy,ucf_crime
Shoplifting015_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting015_x264.npy,ucf_crime
Shoplifting016_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting016_x264.npy,ucf_crime
Shoplifting017_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting017_x264.npy,ucf_crime
Shoplifting018_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting018_x264.npy,ucf_crime
Shoplifting019_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting019_x264.npy,ucf_crime
Shoplifting020_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting020_x264.npy,ucf_crime
Shoplifting021_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting021_x264.npy,ucf_crime
Shoplifting022_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting022_x264.npy,ucf_crime
Shoplifting024_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting024_x264.npy,ucf_crime
Shoplifting025_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting025_x264.npy,ucf_crime
Shoplifting026_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting026_x264.npy,ucf_crime
Shoplifting027_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting027_x264.npy,ucf_crime
Shoplifting028_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting028_x264.npy,ucf_crime
Shoplifting029_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting029_x264.npy,ucf_crime
Shoplifting030_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting030_x264.npy,ucf_crime
Shoplifting031_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting031_x264.npy,ucf_crime
Shoplifting032_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting032_x264.npy,ucf_crime
Shoplifting033_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting033_x264.npy,ucf_crime
Shoplifting034_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting034_x264.npy,ucf_crime
Shoplifting036_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting036_x264.npy,ucf_crime
Shoplifting037_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting037_x264.npy,ucf_crime
Shoplifting038_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting038_x264.npy,ucf_crime
Shoplifting039_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting039_x264.npy,ucf_crime
Shoplifting040_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting040_x264.npy,ucf_crime
Shoplifting041_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting041_x264.npy,ucf_crime
Shoplifting042_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting042_x264.npy,ucf_crime
Shoplifting043_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting043_x264.npy,ucf_crime
Shoplifting044_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting044_x264.npy,ucf_crime
Shoplifting045_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting045_x264.npy,ucf_crime
Shoplifting047_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting047_x264.npy,ucf_crime
Shoplifting048_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting048_x264.npy,ucf_crime
Shoplifting049_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting049_x264.npy,ucf_crime
Shoplifting050_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting050_x264.npy,ucf_crime
Shoplifting051_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting051_x264.npy,ucf_crime
Shoplifting052_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting052_x264.npy,ucf_crime
Shoplifting053_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting053_x264.npy,ucf_crime
Shoplifting054_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting054_x264.npy,ucf_crime
Shoplifting055_x264,Shoplifting,train,data\processed\train\Shoplifting__Shoplifting055_x264.npy,ucf_crime
Stealing002_x264,Stealing,val,data\processed\val\Stealing__Stealing002_x264.npy,ucf_crime
Stealing003_x264,Stealing,val,data\processed\val\Stealing__Stealing003_x264.npy,ucf_crime
Stealing004_x264,Stealing,val,data\processed\val\Stealing__Stealing004_x264.npy,ucf_crime
Stealing006_x264,Stealing,val,data\processed\val\Stealing__Stealing006_x264.npy,ucf_crime
Stealing007_x264,Stealing,val,data\processed\val\Stealing__Stealing007_x264.npy,ucf_crime
Stealing008_x264,Stealing,val,data\processed\val\Stealing__Stealing008_x264.npy,ucf_crime
Stealing009_x264,Stealing,val,data\processed\val\Stealing__Stealing009_x264.npy,ucf_crime
Stealing010_x264,Stealing,val,data\processed\val\Stealing__Stealing010_x264.npy,ucf_crime
Stealing011_x264,Stealing,val,data\processed\val\Stealing__Stealing011_x264.npy,ucf_crime
Stealing012_x264,Stealing,val,data\processed\val\Stealing__Stealing012_x264.npy,ucf_crime
Stealing013_x264,Stealing,val,data\processed\val\Stealing__Stealing013_x264.npy,ucf_crime
Stealing014_x264,Stealing,val,data\processed\val\Stealing__Stealing014_x264.npy,ucf_crime
Stealing015_x264,Stealing,train,data\processed\train\Stealing__Stealing015_x264.npy,ucf_crime
Stealing016_x264,Stealing,train,data\processed\train\Stealing__Stealing016_x264.npy,ucf_crime
Stealing017_x264,Stealing,train,data\processed\train\Stealing__Stealing017_x264.npy,ucf_crime
Stealing018_x264,Stealing,train,data\processed\train\Stealing__Stealing018_x264.npy,ucf_crime
Stealing019_x264,Stealing,train,data\processed\train\Stealing__Stealing019_x264.npy,ucf_crime
Stealing020_x264,Stealing,train,data\processed\train\Stealing__Stealing020_x264.npy,ucf_crime
Stealing021_x264,Stealing,train,data\processed\train\Stealing__Stealing021_x264.npy,ucf_crime
Stealing022_x264,Stealing,train,data\processed\train\Stealing__Stealing022_x264.npy,ucf_crime
Stealing023_x264,Stealing,train,data\processed\train\Stealing__Stealing023_x264.npy,ucf_crime
Stealing024_x264,Stealing,train,data\processed\train\Stealing__Stealing024_x264.npy,ucf_crime
Stealing025_x264,Stealing,train,data\processed\train\Stealing__Stealing025_x264.npy,ucf_crime
Stealing026_x264,Stealing,train,data\processed\train\Stealing__Stealing026_x264.npy,ucf_crime
Stealing027_x264,Stealing,train,data\processed\train\Stealing__Stealing027_x264.npy,ucf_crime
Stealing028_x264,Stealing,train,data\processed\train\Stealing__Stealing028_x264.npy,ucf_crime
Stealing029_x264,Stealing,train,data\processed\train\Stealing__Stealing029_x264.npy,ucf_crime
Stealing030_x264,Stealing,train,data\processed\train\Stealing__Stealing030_x264.npy,ucf_crime
Stealing031_x264,Stealing,train,data\processed\train\Stealing__Stealing031_x264.npy,ucf_crime
Stealing032_x264,Stealing,train,data\processed\train\Stealing__Stealing032_x264.npy,ucf_crime
Stealing035_x264,Stealing,train,data\processed\train\Stealing__Stealing035_x264.npy,ucf_crime
Stealing036_x264,Stealing,train,data\processed\train\Stealing__Stealing036_x264.npy,ucf_crime
Stealing037_x264,Stealing,train,data\processed\train\Stealing__Stealing037_x264.npy,ucf_crime
Stealing042_x264,Stealing,train,data\processed\train\Stealing__Stealing042_x264.npy,ucf_crime
Stealing043_x264,Stealing,train,data\processed\train\Stealing__Stealing043_x264.npy,ucf_crime
Stealing044_x264,Stealing,train,data\processed\train\Stealing__Stealing044_x264.npy,ucf_crime
Stealing045_x264,Stealing,train,data\processed\train\Stealing__Stealing045_x264.npy,ucf_crime
Stealing046_x264,Stealing,train,data\processed\train\Stealing__Stealing046_x264.npy,ucf_crime
Stealing047_x264,Stealing,train,data\processed\train\Stealing__Stealing047_x264.npy,ucf_crime
Stealing048_x264,Stealing,train,data\processed\train\Stealing__Stealing048_x264.npy,ucf_crime
Stealing049_x264,Stealing,train,data\processed\train\Stealing__Stealing049_x264.npy,ucf_crime
Stealing050_x264,Stealing,train,data\processed\train\Stealing__Stealing050_x264.npy,ucf_crime
Stealing051_x264,Stealing,train,data\processed\train\Stealing__Stealing051_x264.npy,ucf_crime
Stealing052_x264,Stealing,train,data\processed\train\Stealing__Stealing052_x264.npy,ucf_crime
Stealing053_x264,Stealing,train,data\processed\train\Stealing__Stealing053_x264.npy,ucf_crime
Stealing054_x264,Stealing,train,data\processed\train\Stealing__Stealing054_x264.npy,ucf_crime
Stealing055_x264,Stealing,train,data\processed\train\Stealing__Stealing055_x264.npy,ucf_crime
Stealing057_x264,Stealing,train,data\processed\train\Stealing__Stealing057_x264.npy,ucf_crime
Stealing058_x264,Stealing,train,data\processed\train\Stealing__Stealing058_x264.npy,ucf_crime
Stealing059_x264,Stealing,train,data\processed\train\Stealing__Stealing059_x264.npy,ucf_crime
Normal_Videos_015_x264,Normal,val,data\processed\val\Normal__Normal_Videos_015_x264.npy,ucf_crime
Normal_Videos_050_x264,Normal,val,data\processed\val\Normal__Normal_Videos_050_x264.npy,ucf_crime
Normal_Videos_100_x264,Normal,val,data\processed\val\Normal__Normal_Videos_100_x264.npy,ucf_crime
Normal_Videos_129_x264,Normal,val,data\processed\val\Normal__Normal_Videos_129_x264.npy,ucf_crime
Normal_Videos_150_x264,Normal,val,data\processed\val\Normal__Normal_Videos_150_x264.npy,ucf_crime
Normal_Videos_246_x264,Normal,val,data\processed\val\Normal__Normal_Videos_246_x264.npy,ucf_crime
Normal_Videos_247_x264,Normal,val,data\processed\val\Normal__Normal_Videos_247_x264.npy,ucf_crime
Normal_Videos_248_x264,Normal,val,data\processed\val\Normal__Normal_Videos_248_x264.npy,ucf_crime
Normal_Videos_251_x264,Normal,val,data\processed\val\Normal__Normal_Videos_251_x264.npy,ucf_crime
Normal_Videos_289_x264,Normal,val,data\processed\val\Normal__Normal_Videos_289_x264.npy,ucf_crime
Normal_Videos_310_x264,Normal,val,data\processed\val\Normal__Normal_Videos_310_x264.npy,ucf_crime
Normal_Videos_312_x264,Normal,val,data\processed\val\Normal__Normal_Videos_312_x264.npy,ucf_crime
Normal_Videos_317_x264,Normal,train,data\processed\train\Normal__Normal_Videos_317_x264.npy,ucf_crime
Normal_Videos_345_x264,Normal,train,data\processed\train\Normal__Normal_Videos_345_x264.npy,ucf_crime
Normal_Videos_352_x264,Normal,train,data\processed\train\Normal__Normal_Videos_352_x264.npy,ucf_crime
Normal_Videos_360_x264,Normal,train,data\processed\train\Normal__Normal_Videos_360_x264.npy,ucf_crime
Normal_Videos_365_x264,Normal,train,data\processed\train\Normal__Normal_Videos_365_x264.npy,ucf_crime
Normal_Videos_401_x264,Normal,train,data\processed\train\Normal__Normal_Videos_401_x264.npy,ucf_crime
Normal_Videos_417_x264,Normal,train,data\processed\train\Normal__Normal_Videos_417_x264.npy,ucf_crime
Normal_Videos_439_x264,Normal,train,data\processed\train\Normal__Normal_Videos_439_x264.npy,ucf_crime
Normal_Videos_452_x264,Normal,train,data\processed\train\Normal__Normal_Videos_452_x264.npy,ucf_crime
Normal_Videos_453_x264,Normal,train,data\processed\train\Normal__Normal_Videos_453_x264.npy,ucf_crime
Normal_Videos_478_x264,Normal,train,data\processed\train\Normal__Normal_Videos_478_x264.npy,ucf_crime
Normal_Videos_576_x264,Normal,train,data\processed\train\Normal__Normal_Videos_576_x264.npy,ucf_crime
Normal_Videos_597_x264,Normal,train,data\processed\train\Normal__Normal_Videos_597_x264.npy,ucf_crime
Normal_Videos_603_x264,Normal,train,data\processed\train\Normal__Normal_Videos_603_x264.npy,ucf_crime
Normal_Videos_606_x264,Normal,train,data\processed\train\Normal__Normal_Videos_606_x264.npy,ucf_crime
Normal_Videos_621_x264,Normal,train,data\processed\train\Normal__Normal_Videos_621_x264.npy,ucf_crime
Normal_Videos_634_x264,Normal,train,data\processed\train\Normal__Normal_Videos_634_x264.npy,ucf_crime
Normal_Videos_641_x264,Normal,train,data\processed\train\Normal__Normal_Videos_641_x264.npy,ucf_crime
Normal_Videos_656_x264,Normal,train,data\processed\train\Normal__Normal_Videos_656_x264.npy,ucf_crime
Normal_Videos_696_x264,Normal,train,data\processed\train\Normal__Normal_Videos_696_x264.npy,ucf_crime
Normal_Videos_704_x264,Normal,train,data\processed\train\Normal__Normal_Videos_704_x264.npy,ucf_crime
Normal_Videos_722_x264,Normal,train,data\processed\train\Normal__Normal_Videos_722_x264.npy,ucf_crime
Normal_Videos_745_x264,Normal,train,data\processed\train\Normal__Normal_Videos_745_x264.npy,ucf_crime
Normal_Videos_758_x264,Normal,train,data\processed\train\Normal__Normal_Videos_758_x264.npy,ucf_crime
Normal_Videos_781_x264,Normal,train,data\processed\train\Normal__Normal_Videos_781_x264.npy,ucf_crime
Normal_Videos_798_x264,Normal,train,data\processed\train\Normal__Normal_Videos_798_x264.npy,ucf_crime
Normal_Videos_801_x264,Normal,train,data\processed\train\Normal__Normal_Videos_801_x264.npy,ucf_crime
Normal_Videos_828_x264,Normal,train,data\processed\train\Normal__Normal_Videos_828_x264.npy,ucf_crime
Normal_Videos_831_x264,Normal,train,data\processed\train\Normal__Normal_Videos_831_x264.npy,ucf_crime
Normal_Videos_877_x264,Normal,train,data\processed\train\Normal__Normal_Videos_877_x264.npy,ucf_crime
Normal_Videos_881_x264,Normal,train,data\processed\train\Normal__Normal_Videos_881_x264.npy,ucf_crime
Normal_Videos_885_x264,Normal,train,data\processed\train\Normal__Normal_Videos_885_x264.npy,ucf_crime
Normal_Videos_892_x264,Normal,train,data\processed\train\Normal__Normal_Videos_892_x264.npy,ucf_crime
Normal_Videos_905_x264,Normal,train,data\processed\train\Normal__Normal_Videos_905_x264.npy,ucf_crime
Normal_Videos_912_x264,Normal,train,data\processed\train\Normal__Normal_Videos_912_x264.npy,ucf_crime
Normal_Videos_913_x264,Normal,train,data\processed\train\Normal__Normal_Videos_913_x264.npy,ucf_crime
Normal_Videos_914_x264,Normal,train,data\processed\train\Normal__Normal_Videos_914_x264.npy,ucf_crime
Normal_Videos_929_x264,Normal,train,data\processed\train\Normal__Normal_Videos_929_x264.npy,ucf_crime
